invoice_id,account_id,product_id,invoice_date,due_date,paid_date,amount,invoice_status
1,1,5,2023-03-11,2024-09-15,,1068.0,Overdue
2,1,5,2023-07-19,2023-12-02,2023-06-09,1068.0,Paid
3,1,5,2024-12-27,2024-05-10,,1368.0,Paid
4,1,5,2023-06-11,2023-06-28,2023-05-06,1092.0,Paid
5,1,5,2024-07-26,2023-10-22,2024-06-20,1044.0,Paid
6,1,5,2024-06-05,2023-07-08,2024-11-16,1332.0,Paid
7,1,5,2024-06-30,2024-02-15,2023-03-15,1032.0,Paid
8,1,5,2024-05-18,2024-03-18,2024-07-27,1260.0,Paid
9,1,5,2024-01-22,2024-05-20,2024-12-04,1320.0,Overdue
10,1,5,2023-05-03,2024-08-31,2023-08-21,1344.0,Paid
11,1,5,2024-08-12,2024-11-05,2024-12-03,1092.0,Overdue
12,1,5,2023-07-29,2024-06-27,2023-03-03,1440.0,Paid
13,1,5,2024-05-06,2023-07-27,2024-12-09,1152.0,Paid
14,1,5,2024-05-16,2023-11-15,2023-07-21,984.0,Paid
15,1,5,2023-06-12,2024-06-07,2023-04-08,1164.0,Paid
16,1,5,2024-04-16,2023-07-10,2024-01-24,1224.0,Paid
17,1,5,2024-04-24,2023-02-17,2023-11-14,1344.0,Overdue
18,1,5,2023-05-20,2024-07-15,2024-04-11,1236.0,Paid
19,1,5,2023-08-26,2024-08-31,2023-04-22,972.0,Overdue
20,1,5,2024-11-07,2024-09-30,2024-03-18,996.0,Paid
21,1,5,2024-01-30,2023-07-15,2024-03-08,1248.0,Paid
22,1,5,2023-10-09,2023-10-25,2024-10-16,960.0,Paid
23,1,5,2024-05-25,2023-06-25,2025-01-03,1128.0,Paid
24,1,5,2023-09-20,2024-12-26,2023-08-30,1224.0,Paid
25,1,5,2023-07-16,2023-09-10,2023-10-17,1116.0,Paid
26,4,5,2023-04-11,2023-02-25,2023-02-09,243.0,Paid
27,4,5,2023-12-18,2023-10-17,2023-05-24,243.0,Overdue
28,4,5,2024-06-13,2024-05-13,,348.0,Paid
29,4,5,2024-04-06,2023-02-20,2023-12-11,309.0,Paid
30,4,5,2023-09-20,2023-12-23,2024-09-05,279.0,Paid
31,4,5,2023-01-04,2023-05-26,2024-11-02,273.0,Paid
32,4,5,2024-04-07,2023-12-09,2024-02-08,279.0,Paid
33,4,5,2023-10-26,2023-11-13,2024-12-07,303.0,Paid
34,4,5,2023-04-12,2025-01-28,2023-08-19,282.0,Paid
35,4,5,2023-06-05,2023-12-24,2023-06-20,282.0,Paid
