usage_id,account_id,usage_date,active_users,logins,feature_a_events,feature_b_events
1,1,2024-01-14,54,66,60,17
2,1,2024-09-30,24,225,39,43
3,1,2024-02-02,42,150,42,4
4,1,2024-11-17,45,94,33,26
5,1,2023-05-24,46,100,48,107
6,1,2023-05-14,30,126,86,28
7,1,2023-10-30,20,56,164,21
8,1,2024-01-04,59,38,62,43
9,1,2024-02-03,28,156,32,66
10,1,2024-09-21,45,295,77,22
11,1,2023-01-22,22,16,67,13
12,1,2024-09-02,23,26,38,12
13,1,2024-04-09,46,57,38,4
14,1,2023-04-24,60,170,85,61
15,1,2023-05-04,55,152,16,4
16,1,2024-08-07,15,52,17,59
17,1,2023-12-22,44,95,164,9
18,1,2023-06-14,54,148,59,17
19,1,2024-06-18,28,192,100,12
20,1,2024-11-15,39,228,58,100
21,1,2023-03-16,26,235,76,54
22,1,2024-09-19,20,180,194,7
23,1,2024-03-08,47,270,60,117
24,1,2023-02-27,44,200,89,6
25,1,2024-01-02,19,306,40,20
26,1,2023-11-05,27,300,64,33
27,1,2024-06-18,19,236,178,30
28,1,2023-06-02,45,37,107,18
29,1,2023-03-01,45,117,183,64
30,1,2023-03-15,24,92,67,6
31,1,2024-12-01,52,32,24,7
32,1,2024-07-25,50,56,176,35
33,1,2023-10-21,23,147,202,4
34,1,2024-09-02,45,35,76,20
35,1,2024-02-26,40,150,107,36
36,1,2024-05-08,20,264,27,9
37,1,2024-04-10,44,88,26,33
38,1,2024-03-01,51,50,23,120
39,1,2024-01-31,29,96,13,49
40,1,2023-07-28,35,236,10,61
41,1,2024-09-01,15,114,83,55
42,1,2024-06-12,42,228,58,7
43,1,2023-12-12,34,34,65,92
44,1,2024-05-20,46,51,79,5
45,1,2023-11-25,17,162,106,15
46,1,2024-11-06,41,15,83,25
47,1,2024-07-23,37,64,42,124
48,1,2023-09-26,44,152,83,44
49,1,2024-09-06,28,128,65,82
50,1,2024-01-07,42,153,72,29
51,1,2023-01-07,32,95,182,74
52,1,2024-03-30,26,50,24,15
53,1,2023-06-12,42,17,249,43
54,1,2023-05-28,55,120,27,43
55,1,2024-03-20,54,81,53,24
56,1,2024-04-29,50,38,112,16
57,1,2023-05-15,42,306,165,33
58,1,2024-06-12,23,104,58,28
59,1,2024-09-09,51,46,28,16
60,1,2024-12-26,22,295,106,71
61,1,2024-01-29,52,245,95,60
62,1,2023-02-01,59,87,88,10
63,1,2023-03-21,49,106,195,8
64,1,2024-09-09,58,75,71,15
65,1,2023-07-17,55,360,75,98
66,1,2024-11-19,26,159,116,54
67,1,2024-11-04,35,21,16,6
68,1,2023-02-18,41,80,232,45
69,1,2024-07-21,53,86,54,27
70,1,2024-12-16,47,50,59,26
71,1,2024-02-01,26,110,169,37
72,1,2023-01-10,24,75,98,53
73,1,2024-11-23,29,228,174,71
74,1,2023-11-15,26,144,8,12
75,1,2024-10-19,19,29,15,18
76,1,2023-12-22,48,51,45,64
77,1,2024-10-03,55,24,19,53
78,1,2023-08-02,39,53,232,39
79,1,2024-03-06,23,78,14,103
80,1,2024-10-23,18,180,88,45
81,1,2023-09-13,46,245,150,69
82,1,2024-08-21,60,53,70,91
83,1,2024-01-28,46,23,140,27
84,1,2023-04-18,33,160,59,32
85,1,2024-12-06,17,26,114,17
86,1,2023-07-20,23,264,68,7
87,1,2024-05-18,38,196,70,50
88,1,2023-06-19,45,75,89,8
89,1,2024-06-19,37,198,197,54
90,1,2024-12-14,38,36,92,29
91,1,2024-03-16,37,180,56,105
92,1,2023-10-04,33,330,66,13
93,1,2023-09-25,48,228,73,18
94,1,2023-10-10,36,57,53,28
95,1,2024-03-08,57,126,32,69
96,1,2024-11-24,25,141,20,56
97,1,2024-08-07,20,93,69,54
98,1,2024-05-27,39,15,94,23
99,1,2024-12-09,32,90,53,46
100,1,2024-06-19,43,162,17,18
101,1,2024-02-06,39,19,42,31
102,1,2023-05-03,56,76,21,28
103,1,2024-05-17,49,153,177,14
104,1,2023-05-14,57,144,60,94
105,1,2024-11-24,44,234,70,6
106,1,2023-12-26,46,50,199,21
107,1,2023-08-14,36,156,15,73
108,1,2023-10-08,33,204,113,59
109,1,2023-09-06,42,180,73,16
110,1,2023-09-04,38,45,60,5
111,1,2024-02-07,18,93,50,91
112,1,2023-06-28,58,354,49,35
113,1,2023-02-11,39,62,223,28
114,1,2024-12-15,34,69,120,60
115,1,2024-10-03,26,210,138,29
116,1,2024-05-02,58,38,73,20
117,1,2024-10-23,49,252,135,60
118,1,2023-10-06,38,126,29,14
119,1,2024-08-13,43,196,72,26
120,1,2024-05-29,28,140,154,9
121,2,2024-06-29,29,112,190,22
122,2,2024-02-07,26,33,71,17
123,2,2023-11-29,25,34,49,154
124,2,2023-08-26,42,234,80,75
125,2,2024-11-05,32,27,21,87
126,2,2023-09-01,33,125,91,87
127,2,2024-05-08,17,160,23,12
128,2,2023-09-12,38,85,42,25
129,2,2023-11-02,20,38,100,52
130,2,2023-10-03,49,90,64,8
131,2,2023-05-18,58,68,49,70
132,2,2024-09-08,27,156,9,61
133,2,2024-03-07,21,195,44,42
134,2,2023-03-02,16,147,76,132
135,2,2024-05-04,54,38,86,31
136,2,2024-05-23,30,23,39,36
137,2,2024-10-14,48,57,78,41
138,2,2024-12-20,37,62,34,96
139,2,2023-11-27,19,204,67,10
140,2,2023-12-14,51,22,70,87
141,2,2023-12-17,38,116,182,96
142,2,2023-11-27,54,240,102,10
143,2,2023-05-21,31,330,97,26
144,2,2024-02-29,29,138,17,11
145,2,2024-09-06,39,22,17,87
146,2,2023-04-25,57,114,39,7
147,2,2024-09-09,15,126,157,49
148,2,2023-04-20,37,18,14,8
149,2,2024-07-07,55,34,209,22
150,2,2023-06-26,28,40,53,60
151,2,2024-07-12,30,36,17,23
152,2,2023-03-09,58,99,44,73
153,2,2023-11-09,40,155,90,28
154,2,2024-12-13,41,44,199,34
