account_id,account_code,account_name,region,arr_segment,month,revenue_paid,revenue_overdue,revenue_written_off,invoice_count
1,A0001,Company 0001,APAC,Mid-Market,2023-03,0,1068.0,0,1
1,A0001,Company 0001,APAC,Mid-Market,2023-05,2580.0,0,0,2
1,A0001,Company 0001,APAC,Mid-Market,2023-06,2256.0,0,0,2
1,A0001,Company 0001,APAC,Mid-Market,2023-07,3624.0,0,0,3
1,A0001,Company 0001,APAC,Mid-Market,2023-08,0,972.0,0,1
1,A0001,Company 0001,APAC,Mid-Market,2023-09,1224.0,0,0,1
1,A0001,Company 0001,APAC,Mid-Market,2023-10,960.0,0,0,1
1,A0001,Company 0001,APAC,Mid-Market,2024-01,1248.0,1320.0,0,2
1,A0001,Company 0001,APAC,Mid-Market,2024-04,1224.0,1344.0,0,2
1,A0001,Company 0001,APAC,Mid-Market,2024-05,4524.0,0,0,4
1,A0001,Company 0001,APAC,Mid-Market,2024-06,2364.0,0,0,2
1,A0001,Company 0001,APAC,Mid-Market,2024-07,1044.0,0,0,1
1,A0001,Company 0001,APAC,Mid-Market,2024-08,0,1092.0,0,1
1,A0001,Company 0001,APAC,Mid-Market,2024-11,996.0,0,0,1
1,A0001,Company 0001,APAC,Mid-Market,2024-12,1368.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2023-01,273.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2023-02,0,240.0,0,1
4,A0004,Company 0004,Europe,SMB,2023-04,525.0,0,0,2
4,A0004,Company 0004,Europe,SMB,2023-06,1134.0,0,0,4
4,A0004,Company 0004,Europe,SMB,2023-08,243.0,270.0,0,2
4,A0004,Company 0004,Europe,SMB,2023-09,279.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2023-10,303.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2023-11,258.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2023-12,0,243.0,0,1
4,A0004,Company 0004,Europe,SMB,2024-01,354.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2024-04,588.0,0,0,2
4,A0004,Company 0004,Europe,SMB,2024-06,348.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2024-07,540.0,243.0,0,3
4,A0004,Company 0004,Europe,SMB,2024-09,240.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2024-11,318.0,0,0,1
4,A0004,Company 0004,Europe,SMB,2024-12,618.0,0,0,2
6,A0006,Company 0006,North America,Mid-Market,2023-01,1356.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2023-04,1188.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2023-05,1104.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2023-06,2676.0,1080.0,0,3
6,A0006,Company 0006,North America,Mid-Market,2023-10,1080.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2023-11,1044.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2023-12,2460.0,1212.0,0,3
6,A0006,Company 0006,North America,Mid-Market,2024-03,1140.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2024-04,1320.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2024-05,0,960.0,0,1
6,A0006,Company 0006,North America,Mid-Market,2024-06,1260.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2024-07,1248.0,1092.0,0,2
6,A0006,Company 0006,North America,Mid-Market,2024-09,2460.0,1404.0,0,3
6,A0006,Company 0006,North America,Mid-Market,2024-10,1140.0,0,0,1
6,A0006,Company 0006,North America,Mid-Market,2024-11,0,1344.0,0,1
6,A0006,Company 0006,North America,Mid-Market,2024-12,3624.0,0,0,3
9,A0009,Company 0009,North America,SMB,2023-01,546.0,0,0,2
9,A0009,Company 0009,North America,SMB,2023-02,261.0,0,0,1
9,A0009,Company 0009,North America,SMB,2023-03,0,273.0,0,1
9,A0009,Company 0009,North America,SMB,2023-06,333.0,0,0,1
9,A0009,Company 0009,North America,SMB,2023-07,345.0,0,0,1
9,A0009,Company 0009,North America,SMB,2023-08,324.0,0,0,1
9,A0009,Company 0009,North America,SMB,2023-09,0,324.0,0,1
9,A0009,Company 0009,North America,SMB,2023-10,267.0,0,0,1
9,A0009,Company 0009,North America,SMB,2023-11,0,291.0,0,1
9,A0009,Company 0009,North America,SMB,2024-02,987.0,0,0,3
9,A0009,Company 0009,North America,SMB,2024-03,660.0,0,0,2
9,A0009,Company 0009,North America,SMB,2024-04,318.0,0,0,1
9,A0009,Company 0009,North America,SMB,2024-05,630.0,246.0,0,3
9,A0009,Company 0009,North America,SMB,2024-06,0,336.0,0,1
