account_id,account_code,account_name,region,arr_segment,month,avg_active_users,total_logins,total_feature_a_events,total_feature_b_events
1,A0001,Company 0001,APAC,Mid-Market,2023-01,26.0,186,347,140
1,A0001,Company 0001,APAC,Mid-Market,2023-02,45.75,429,632,89
1,A0001,Company 0001,APAC,Mid-Market,2023-03,36.0,550,521,132
1,A0001,Company 0001,APAC,Mid-Market,2023-04,46.5,330,144,93
1,A0001,Company 0001,APAC,Mid-Market,2023-05,48.7142857142857,1024,423,337
1,A0001,Company 0001,APAC,Mid-Market,2023-06,48.8,631,553,121
1,A0001,Company 0001,APAC,Mid-Market,2023-07,37.6666666666667,860,153,166
1,A0001,Company 0001,APAC,Mid-Market,2023-08,37.5,209,247,112
1,A0001,Company 0001,APAC,Mid-Market,2023-09,43.6,850,439,152
1,A0001,Company 0001,APAC,Mid-Market,2023-10,30.5,920,627,139
1,A0001,Company 0001,APAC,Mid-Market,2023-11,23.3333333333333,606,178,60
1,A0001,Company 0001,APAC,Mid-Market,2023-12,43.0,230,473,186
1,A0001,Company 0001,APAC,Mid-Market,2024-01,43.0,927,482,245
1,A0001,Company 0001,APAC,Mid-Market,2024-02,32.1666666666667,678,442,265
1,A0001,Company 0001,APAC,Mid-Market,2024-03,42.1428571428571,835,262,553
1,A0001,Company 0001,APAC,Mid-Market,2024-04,46.6666666666667,183,176,53
1,A0001,Company 0001,APAC,Mid-Market,2024-05,39.7142857142857,857,674,130
1,A0001,Company 0001,APAC,Mid-Market,2024-06,32.0,1120,608,149
1,A0001,Company 0001,APAC,Mid-Market,2024-07,46.6666666666667,206,272,186
1,A0001,Company 0001,APAC,Mid-Market,2024-08,34.5,394,228,230
1,A0001,Company 0001,APAC,Mid-Market,2024-09,34.3333333333333,1124,671,272
1,A0001,Company 0001,APAC,Mid-Market,2024-10,33.4,695,395,205
1,A0001,Company 0001,APAC,Mid-Market,2024-11,35.5,1120,570,344
1,A0001,Company 0001,APAC,Mid-Market,2024-12,34.5714285714286,598,568,256
